,0
0,0
1,1.60E-05
2,1.60E-05
3,1.61E-05
4,1.61E-05
5,1.62E-05
6,1.62E-05
7,1.62E-05
8,1.63E-05
9,1.63E-05
10,1.63E-05
11,1.63E-05
12,1.63E-05
13,1.63E-05
14,1.63E-05
15,1.63E-05
16,1.91E-05
17,1.92E-05
18,1.93E-05
19,1.94E-05
20,1.94E-05
21,1.94E-05
22,1.95E-05
23,2.05E-05
24,2.05E-05
25,2.05E-05
26,2.05E-05
27,2.05E-05
28,2.05E-05
29,2.09E-05
33,2.11E-05
32,2.11E-05
30,2.11E-05
31,2.11E-05
34,2.15E-05
35,2.15E-05
36,2.15E-05
37,2.15E-05
38,2.15E-05
39,2.15E-05
40,2.15E-05
46,2.18E-05
47,2.18E-05
45,2.18E-05
48,2.18E-05
43,2.18E-05
42,2.18E-05
41,2.18E-05
44,2.18E-05
49,2.21E-05
56,2.21E-05
55,2.21E-05
54,2.21E-05
53,2.21E-05
52,2.21E-05
51,2.21E-05
50,2.21E-05
57,2.22E-05
65,2.23E-05
64,2.23E-05
63,2.23E-05
62,2.23E-05
59,2.23E-05
60,2.23E-05
58,2.23E-05
61,2.23E-05
66,2.25E-05
75,2.25E-05
79,2.25E-05
78,2.25E-05
77,2.25E-05
76,2.25E-05
80,2.25E-05
74,2.25E-05
71,2.25E-05
72,2.25E-05
70,2.25E-05
69,2.25E-05
68,2.25E-05
67,2.25E-05
73,2.25E-05
81,2.26E-05
94,2.27E-05
93,2.27E-05
92,2.27E-05
91,2.27E-05
90,2.27E-05
89,2.27E-05
86,2.27E-05
87,2.27E-05
85,2.27E-05
84,2.27E-05
83,2.27E-05
82,2.27E-05
88,2.27E-05
99,2.28E-05
101,2.28E-05
98,2.28E-05
100,2.28E-05
96,2.28E-05
95,2.28E-05
97,2.28E-05
102,2.29E-05
103,2.29E-05
104,2.29E-05
105,2.29E-05
106,2.29E-05
107,2.29E-05
108,2.29E-05
109,2.29E-05
110,2.29E-05
111,2.29E-05
112,2.29E-05
113,2.30E-05
114,2.30E-05
115,2.30E-05
116,2.30E-05
117,2.30E-05
118,2.30E-05
119,2.30E-05
120,2.30E-05
121,2.30E-05
122,2.30E-05
123,2.30E-05
124,2.31E-05
125,2.31E-05
126,2.31E-05
127,2.31E-05
128,2.31E-05
129,2.31E-05
130,2.31E-05
131,2.31E-05
132,2.31E-05
133,2.31E-05
134,2.31E-05
135,2.32E-05
136,2.32E-05
137,2.32E-05
138,2.32E-05
139,2.32E-05
140,2.32E-05
141,2.32E-05
142,2.32E-05
143,2.32E-05
144,2.32E-05
145,2.32E-05
146,2.32E-05
152,2.33E-05
151,2.33E-05
153,2.33E-05
150,2.33E-05
148,2.33E-05
147,2.33E-05
149,2.33E-05
154,2.33E-05
155,2.33E-05
156,2.33E-05
157,2.33E-05
158,2.33E-05
167,2.33E-05
166,2.33E-05
165,2.33E-05
164,2.33E-05
163,2.33E-05
162,2.33E-05
161,2.33E-05
160,2.33E-05
159,2.33E-05
168,2.34E-05
169,2.34E-05
170,2.34E-05
171,2.34E-05
172,2.34E-05
173,2.34E-05
174,2.34E-05
175,2.34E-05
176,2.34E-05
177,2.34E-05
178,2.34E-05
179,2.34E-05
180,2.34E-05
181,2.34E-05
182,2.34E-05
183,2.34E-05
184,2.34E-05
185,2.35E-05
193,2.35E-05
192,2.35E-05
191,2.35E-05
190,2.35E-05
189,2.35E-05
188,2.35E-05
187,2.35E-05
186,2.35E-05
194,2.35E-05
195,2.35E-05
196,2.35E-05
197,2.35E-05
206,2.35E-05
205,2.35E-05
204,2.35E-05
203,2.35E-05
207,2.35E-05
201,2.35E-05
200,2.35E-05
199,2.35E-05
198,2.35E-05
202,2.35E-05
208,2.35E-05
209,2.36E-05
218,2.36E-05
217,2.36E-05
216,2.36E-05
214,2.36E-05
215,2.36E-05
212,2.36E-05
211,2.36E-05
210,2.36E-05
213,2.36E-05
219,2.36E-05
220,2.36E-05
221,2.36E-05
222,2.36E-05
223,2.36E-05
224,2.36E-05
225,2.36E-05
229,2.36E-05
228,2.36E-05
227,2.36E-05
226,2.36E-05
230,2.37E-05
231,2.37E-05
232,2.37E-05
233,2.37E-05
234,2.37E-05
235,2.37E-05
236,2.37E-05
237,2.37E-05
238,2.37E-05
243,2.37E-05
242,2.37E-05
240,2.37E-05
239,2.37E-05
241,2.37E-05
244,2.37E-05
245,2.37E-05
246,2.37E-05
247,2.37E-05
248,2.37E-05
249,2.37E-05
255,2.38E-05
256,2.38E-05
253,2.38E-05
254,2.38E-05
252,2.38E-05
251,2.38E-05
250,2.38E-05
257,2.38E-05
258,2.38E-05
259,2.38E-05
260,2.38E-05
261,2.38E-05
262,2.38E-05
263,2.38E-05
267,2.38E-05
266,2.38E-05
264,2.38E-05
265,2.38E-05
268,2.38E-05
269,2.38E-05
270,2.38E-05
271,2.38E-05
272,2.38E-05
273,2.39E-05
277,2.39E-05
274,2.39E-05
275,2.39E-05
276,2.39E-05
278,2.39E-05
279,2.39E-05
280,2.39E-05
281,2.39E-05
282,2.39E-05
283,2.39E-05
284,2.39E-05
285,2.39E-05
286,2.39E-05
287,2.39E-05
288,2.39E-05
292,2.39E-05
291,2.39E-05
289,2.39E-05
290,2.39E-05
293,2.39E-05
294,2.40E-05
295,2.40E-05
296,2.40E-05
297,2.40E-05
298,2.40E-05
299,2.40E-05
300,2.40E-05
301,2.40E-05
303,2.40E-05
304,2.40E-05
302,2.40E-05
307,2.40E-05
308,2.40E-05
305,2.40E-05
306,2.40E-05
309,2.40E-05
310,2.40E-05
311,2.40E-05
312,2.40E-05
313,2.40E-05
314,2.40E-05
315,2.40E-05
316,2.40E-05
317,2.40E-05
318,2.41E-05
319,2.41E-05
320,2.41E-05
321,2.41E-05
322,2.41E-05
323,2.41E-05
324,2.41E-05
325,2.41E-05
326,2.41E-05
327,2.41E-05
328,2.41E-05
329,2.41E-05
330,2.41E-05
331,2.41E-05
332,2.42E-05
333,2.42E-05
334,2.42E-05
335,2.42E-05
336,2.42E-05
337,2.42E-05
338,2.42E-05
339,2.42E-05
340,2.42E-05
341,2.42E-05
342,2.42E-05
343,2.42E-05
344,2.42E-05
345,2.42E-05
346,2.43E-05
347,2.43E-05
348,2.43E-05
349,2.43E-05
350,2.43E-05
351,2.43E-05
352,2.43E-05
353,2.43E-05
354,2.44E-05
355,2.44E-05
356,2.44E-05
357,2.44E-05
358,2.44E-05
359,2.44E-05
360,2.45E-05
361,2.45E-05
389,2.46E-05
390,2.46E-05
391,2.46E-05
392,2.46E-05
393,2.46E-05
394,2.46E-05
395,2.46E-05
396,2.46E-05
397,2.46E-05
398,2.46E-05
399,2.46E-05
400,2.46E-05
401,2.46E-05
402,2.46E-05
403,2.46E-05
404,2.46E-05
405,2.46E-05
406,2.46E-05
407,2.46E-05
408,2.46E-05
409,2.46E-05
388,2.46E-05
386,2.46E-05
387,2.46E-05
384,2.46E-05
362,2.46E-05
363,2.46E-05
364,2.46E-05
365,2.46E-05
366,2.46E-05
367,2.46E-05
368,2.46E-05
369,2.46E-05
370,2.46E-05
385,2.46E-05
372,2.46E-05
371,2.46E-05
374,2.46E-05
375,2.46E-05
376,2.46E-05
377,2.46E-05
378,2.46E-05
379,2.46E-05
380,2.46E-05
381,2.46E-05
382,2.46E-05
383,2.46E-05
373,2.46E-05
410,2.48E-05
411,2.54E-05
412,2.55E-05
413,2.64E-05
414,2.64E-05
415,2.67E-05
416,2.69E-05
417,2.72E-05
418,2.73E-05
419,2.76E-05
420,2.76E-05
421,2.78E-05
422,2.78E-05
423,2.79E-05
424,2.81E-05
425,2.81E-05
426,2.84E-05
427,2.84E-05
428,2.86E-05
429,2.87E-05
430,2.89E-05
431,2.90E-05
432,2.91E-05
433,2.92E-05
434,2.92E-05
435,2.92E-05
436,2.94E-05
451,2.95E-05
450,2.95E-05
449,2.95E-05
448,2.95E-05
447,2.95E-05
446,2.95E-05
445,2.95E-05
452,2.95E-05
443,2.95E-05
437,2.95E-05
438,2.95E-05
439,2.95E-05
444,2.95E-05
441,2.95E-05
442,2.95E-05
440,2.95E-05
453,2.95E-05
454,2.98E-05
456,3.00E-05
455,3.00E-05
457,3.01E-05
458,3.01E-05
459,3.02E-05
460,3.04E-05
461,3.05E-05
462,3.05E-05
463,3.05E-05
464,3.05E-05
465,3.05E-05
466,3.05E-05
468,3.07E-05
467,3.07E-05
469,3.08E-05
470,3.08E-05
471,3.08E-05
472,3.09E-05
473,3.09E-05
474,3.09E-05
475,3.10E-05
476,3.10E-05
477,3.10E-05
478,3.11E-05
479,3.12E-05
480,3.12E-05
481,3.12E-05
482,3.13E-05
483,3.13E-05
484,3.13E-05
485,3.13E-05
486,3.13E-05
487,3.14E-05
488,3.14E-05
489,3.14E-05
490,3.16E-05
491,3.16E-05
492,3.16E-05
493,3.17E-05
494,3.17E-05
495,3.17E-05
496,3.18E-05
497,3.21E-05
498,3.22E-05
499,3.26E-05
500,3.27E-05
681,3.27E-05
680,3.27E-05
679,3.27E-05
678,3.27E-05
677,3.27E-05
676,3.27E-05
671,3.27E-05
674,3.27E-05
673,3.27E-05
672,3.27E-05
682,3.27E-05
670,3.27E-05
675,3.27E-05
683,3.27E-05
688,3.27E-05
685,3.27E-05
686,3.27E-05
687,3.27E-05
669,3.27E-05
689,3.27E-05
690,3.27E-05
691,3.27E-05
692,3.27E-05
693,3.27E-05
694,3.27E-05
695,3.27E-05
696,3.27E-05
697,3.27E-05
698,3.27E-05
684,3.27E-05
668,3.27E-05
663,3.27E-05
666,3.27E-05
636,3.27E-05
637,3.27E-05
638,3.27E-05
639,3.27E-05
640,3.27E-05
641,3.27E-05
642,3.27E-05
643,3.27E-05
644,3.27E-05
645,3.27E-05
646,3.27E-05
647,3.27E-05
648,3.27E-05
649,3.27E-05
667,3.27E-05
650,3.27E-05
652,3.27E-05
653,3.27E-05
654,3.27E-05
655,3.27E-05
656,3.27E-05
657,3.27E-05
658,3.27E-05
659,3.27E-05
660,3.27E-05
661,3.27E-05
662,3.27E-05
699,3.27E-05
664,3.27E-05
665,3.27E-05
651,3.27E-05
700,3.27E-05
743,3.27E-05
702,3.27E-05
737,3.27E-05
738,3.27E-05
739,3.27E-05
740,3.27E-05
741,3.27E-05
742,3.27E-05
635,3.27E-05
744,3.27E-05
745,3.27E-05
746,3.27E-05
747,3.27E-05
748,3.27E-05
749,3.27E-05
750,3.27E-05
736,3.27E-05
751,3.27E-05
753,3.27E-05
754,3.27E-05
755,3.27E-05
756,3.27E-05
757,3.27E-05
758,3.27E-05
759,3.27E-05
760,3.27E-05
761,3.27E-05
762,3.27E-05
763,3.27E-05
764,3.27E-05
765,3.27E-05
766,3.27E-05
752,3.27E-05
701,3.27E-05
735,3.27E-05
733,3.27E-05
703,3.27E-05
704,3.27E-05
705,3.27E-05
706,3.27E-05
707,3.27E-05
708,3.27E-05
709,3.27E-05
710,3.27E-05
711,3.27E-05
712,3.27E-05
713,3.27E-05
714,3.27E-05
715,3.27E-05
716,3.27E-05
734,3.27E-05
717,3.27E-05
719,3.27E-05
720,3.27E-05
721,3.27E-05
722,3.27E-05
723,3.27E-05
724,3.27E-05
725,3.27E-05
726,3.27E-05
727,3.27E-05
728,3.27E-05
729,3.27E-05
730,3.27E-05
731,3.27E-05
732,3.27E-05
718,3.27E-05
634,3.27E-05
623,3.27E-05
632,3.27E-05
535,3.27E-05
536,3.27E-05
537,3.27E-05
538,3.27E-05
539,3.27E-05
540,3.27E-05
541,3.27E-05
542,3.27E-05
543,3.27E-05
544,3.27E-05
545,3.27E-05
546,3.27E-05
547,3.27E-05
548,3.27E-05
549,3.27E-05
550,3.27E-05
551,3.27E-05
552,3.27E-05
553,3.27E-05
554,3.27E-05
555,3.27E-05
556,3.27E-05
557,3.27E-05
558,3.27E-05
559,3.27E-05
560,3.27E-05
561,3.27E-05
562,3.27E-05
563,3.27E-05
633,3.27E-05
533,3.27E-05
532,3.27E-05
531,3.27E-05
501,3.27E-05
502,3.27E-05
503,3.27E-05
504,3.27E-05
505,3.27E-05
506,3.27E-05
507,3.27E-05
508,3.27E-05
509,3.27E-05
510,3.27E-05
511,3.27E-05
512,3.27E-05
513,3.27E-05
514,3.27E-05
564,3.27E-05
515,3.27E-05
517,3.27E-05
518,3.27E-05
519,3.27E-05
